SuperTypes,RCs
SpaceTypes,33756
Artifacts,30947
Products,25534
OrganicMatter,21374
SecondarySectorProduct,19662
Shapes,14707
LivingThings,11013
Eukaryotes,9593
ActionTypes,9514
Forms,9159
Agents,8662
TimeTypes,8142
Places,8063
EventTypes,7679
Animals,7087
SituationTypes,7049
Information,6050
SocialSystems,5524
Organizations,4848
Society,4486
LocationPlace,4396
Persons,3641
PrimarySectorProduct,3383
TertiarySectorService,3258
NaturalMatter,2675
Plants,2303
FoodDrink,2175
StructuredInfo,2108
AreaRegion,2079
Facilities,2063
Geopolitical,2049
WrittenInfo,1909
LearningProcesses,1799
NaturalSubstances,1796
Drugs,1701
AVInfo,1526
TopicsCategories,1456
EconomicSystems,1159
VisualInfo,1085
NaturalPhenomena,959
OrganicChemistry,929
Diseases,922
Chemistry,881
InquiryMethods,652
Times,560
AtomsElements,508
AudioInfo,453
BiologicalProcesses,295
Prokaryotes,273
EmergentKnowledge,179
